Smoothing,Measure,E,Test,value
Obs,EP,2,Turnbull (1990),0
Obs,EP,2,Besag-Newell (1991),0
Obs,EP,2,Kulldorff (1997),0
Adj,EP,0.5,Turnbull (1990),0
Adj,EP,0.5,Besag-Newell (1991),0
Adj,EP,0.5,Kulldorff (1997),0
Adj,EP,1,Turnbull (1990),0
Adj,EP,1,Besag-Newell (1991),0
Adj,EP,1,Kulldorff (1997),0
Adj,EP,1.5,Turnbull (1990),0
Adj,EP,1.5,Besag-Newell (1991),0
Adj,EP,1.5,Kulldorff (1997),0
Adj,EP,2,Turnbull (1990),0
Adj,EP,2,Besag-Newell (1991),0
Adj,EP,2,Kulldorff (1997),0
ID,EP,0.5,Turnbull (1990),0
ID,EP,0.5,Besag-Newell (1991),0
ID,EP,0.5,Kulldorff (1997),0
ID,EP,1,Turnbull (1990),0
ID,EP,1,Besag-Newell (1991),0
ID,EP,1,Kulldorff (1997),0
ID,EP,1.5,Turnbull (1990),0
ID,EP,1.5,Besag-Newell (1991),0
ID,EP,1.5,Kulldorff (1997),0
ID,EP,2,Turnbull (1990),0
ID,EP,2,Besag-Newell (1991),0
ID,EP,2,Kulldorff (1997),0
BYM,EP,0.5,Turnbull (1990),0
BYM,EP,0.5,Besag-Newell (1991),0
BYM,EP,0.5,Kulldorff (1997),0
BYM,EP,1,Turnbull (1990),0
BYM,EP,1,Besag-Newell (1991),0
BYM,EP,1,Kulldorff (1997),0
BYM,EP,1.5,Turnbull (1990),0
BYM,EP,1.5,Besag-Newell (1991),0
BYM,EP,1.5,Kulldorff (1997),0
BYM,EP,2,Turnbull (1990),0
BYM,EP,2,Besag-Newell (1991),0
BYM,EP,2,Kulldorff (1997),0
Obs,MP,0.5,Turnbull (1990),1
Obs,MP,0.5,Besag-Newell (1991),0.23
Obs,MP,0.5,Kulldorff (1997),1
Obs,MP,1,Turnbull (1990),1
Obs,MP,1,Besag-Newell (1991),0.57
Obs,MP,1,Kulldorff (1997),1
Obs,MP,1.5,Turnbull (1990),1
Obs,MP,1.5,Besag-Newell (1991),0.79
Obs,MP,1.5,Kulldorff (1997),1
Obs,MP,2,Turnbull (1990),1
Obs,MP,2,Besag-Newell (1991),0.86
Obs,MP,2,Kulldorff (1997),1
Adj,MP,0.5,Turnbull (1990),0.9
Adj,MP,0.5,Besag-Newell (1991),0.07
Adj,MP,0.5,Kulldorff (1997),0.8
Adj,MP,1,Turnbull (1990),1
Adj,MP,1,Besag-Newell (1991),0.12
Adj,MP,1,Kulldorff (1997),1
Adj,MP,1.5,Turnbull (1990),1
Adj,MP,1.5,Besag-Newell (1991),0.32
Adj,MP,1.5,Kulldorff (1997),1
Adj,MP,2,Turnbull (1990),1
Adj,MP,2,Besag-Newell (1991),0.48
Adj,MP,2,Kulldorff (1997),1
ID,MP,0.5,Turnbull (1990),0.91
ID,MP,0.5,Besag-Newell (1991),0.12
ID,MP,0.5,Kulldorff (1997),0.82
ID,MP,1,Turnbull (1990),1
ID,MP,1,Besag-Newell (1991),0.17
ID,MP,1,Kulldorff (1997),1
ID,MP,1.5,Turnbull (1990),1
