Smoothing,Measure,E,Test,value
ID,NPV,1,Kulldorff (1997),0.9443724979398129
ID,NPV,1.5,Turnbull (1990),0.9707348978600704
ID,NPV,1.5,Besag-Newell (1991),0.9119496855345912
ID,NPV,1.5,Kulldorff (1997),0.9669720402538406
ID,NPV,2,Turnbull (1990),0.9755436720142603
ID,NPV,2,Besag-Newell (1991),0.9119496855345912
ID,NPV,2,Kulldorff (1997),0.9690778843527629
BYM,NPV,0.5,Turnbull (1990),0.9145903334194883
BYM,NPV,0.5,Besag-Newell (1991),0.9119496855345912
BYM,NPV,0.5,Kulldorff (1997),0.9147547169811321
BYM,NPV,1,Turnbull (1990),0.9567937668225256
BYM,NPV,1,Besag-Newell (1991),0.9119496855345912
BYM,NPV,1,Kulldorff (1997),0.9443467089767766
BYM,NPV,1.5,Turnbull (1990),0.9700603621730383
BYM,NPV,1.5,Besag-Newell (1991),0.9119496855345912
BYM,NPV,1.5,Kulldorff (1997),0.9596836921300007
BYM,NPV,2,Turnbull (1990),0.9714285714285714
BYM,NPV,2,Besag-Newell (1991),0.9119496855345912
BYM,NPV,2,Kulldorff (1997),0.9641229766157249
Obs,EP,0.5,Turnbull (1990),0
Obs,EP,0.5,Besag-Newell (1991),0
Obs,EP,0.5,Kulldorff (1997),0
Obs,EP,1,Turnbull (1990),0
Obs,EP,1,Besag-Newell (1991),0
Obs,EP,1,Kulldorff (1997),0
Obs,EP,1.5,Turnbull (1990),0
Obs,EP,1.5,Besag-Newell (1991),0
Obs,EP,1.5,Kulldorff (1997),0
Obs,EP,2,Turnbull (1990),0
Obs,EP,2,Besag-Newell (1991),0
Obs,EP,2,Kulldorff (1997),0
Adj,EP,0.5,Turnbull (1990),0
Adj,EP,0.5,Besag-Newell (1991),0
Adj,EP,0.5,Kulldorff (1997),0
Adj,EP,1,Turnbull (1990),0
Adj,EP,1,Besag-Newell (1991),0
Adj,EP,1,Kulldorff (1997),0
Adj,EP,1.5,Turnbull (1990),0
Adj,EP,1.5,Besag-Newell (1991),0
Adj,EP,1.5,Kulldorff (1997),0
Adj,EP,2,Turnbull (1990),0
Adj,EP,2,Besag-Newell (1991),0
Adj,EP,2,Kulldorff (1997),0
ID,EP,0.5,Turnbull (1990),0
ID,EP,0.5,Besag-Newell (1991),0
ID,EP,0.5,Kulldorff (1997),0
ID,EP,1,Turnbull (1990),0
ID,EP,1,Besag-Newell (1991),0
ID,EP,1,Kulldorff (1997),0
ID,EP,1.5,Turnbull (1990),0
ID,EP,1.5,Besag-Newell (1991),0
ID,EP,1.5,Kulldorff (1997),0
ID,EP,2,Turnbull (1990),0
ID,EP,2,Besag-Newell (1991),0
ID,EP,2,Kulldorff (1997),0
