Smoothing,Measure,E,Test,value
Adj,NPV,1.5,Kulldorff (1997),0.9594345421020283
Adj,NPV,2,Turnbull (1990),0.9840902300567674
Adj,NPV,2,Besag-Newell (1991),0.9731163263823295
Adj,NPV,2,Kulldorff (1997),0.9789118515394348
ID,NPV,0.5,Turnbull (1990),0.9158463617062343
ID,NPV,0.5,Besag-Newell (1991),0.9253908569166831
ID,NPV,0.5,Kulldorff (1997),0.9120396870826178
ID,NPV,1,Turnbull (1990),0.9423546985334058
ID,NPV,1,Besag-Newell (1991),0.9454893646125436
ID,NPV,1,Kulldorff (1997),0.9328309305373526
ID,NPV,1.5,Turnbull (1990),0.9676386913229019
ID,NPV,1.5,Besag-Newell (1991),0.9674825927786951
ID,NPV,1.5,Kulldorff (1997),0.9590141612200436
ID,NPV,2,Turnbull (1990),0.982017316658033
ID,NPV,2,Besag-Newell (1991),0.9727536231884057
ID,NPV,2,Kulldorff (1997),0.9791447966967597
BYM,NPV,0.5,Turnbull (1990),0.906515580736544
BYM,NPV,0.5,Besag-Newell (1991),0.9058882737795672
BYM,NPV,0.5,Kulldorff (1997),0.9056603773584906
BYM,NPV,1,Turnbull (1990),0.9266409266409267
BYM,NPV,1,Besag-Newell (1991),0.9177836208555121
BYM,NPV,1,Kulldorff (1997),0.9201277955271566
BYM,NPV,1.5,Turnbull (1990),0.9373774349588181
BYM,NPV,1.5,Besag-Newell (1991),0.9595022002200221
BYM,NPV,1.5,Kulldorff (1997),0.931351596399197
BYM,NPV,2,Turnbull (1990),0.9629655706540873
BYM,NPV,2,Besag-Newell (1991),0.9718497718497718
BYM,NPV,2,Kulldorff (1997),0.9627437794216542
Obs,EP,0.5,Turnbull (1990),0
Obs,EP,0.5,Besag-Newell (1991),0
Obs,EP,0.5,Kulldorff (1997),0
Obs,EP,1,Turnbull (1990),0
Obs,EP,1,Besag-Newell (1991),0
Obs,EP,1,Kulldorff (1997),0
Obs,EP,1.5,Turnbull (1990),0
Obs,EP,1.5,Besag-Newell (1991),0
Obs,EP,1.5,Kulldorff (1997),0
Obs,EP,2,Turnbull (1990),0
Obs,EP,2,Besag-Newell (1991),0
Obs,EP,2,Kulldorff (1997),0
Adj,EP,0.5,Turnbull (1990),0
Adj,EP,0.5,Besag-Newell (1991),0
Adj,EP,0.5,Kulldorff (1997),0
Adj,EP,1,Turnbull (1990),0
Adj,EP,1,Besag-Newell (1991),0
Adj,EP,1,Kulldorff (1997),0
Adj,EP,1.5,Turnbull (1990),0
Adj,EP,1.5,Besag-Newell (1991),0
Adj,EP,1.5,Kulldorff (1997),0
Adj,EP,2,Turnbull (1990),0
Adj,EP,2,Besag-Newell (1991),0
Adj,EP,2,Kulldorff (1997),0
ID,EP,0.5,Turnbull (1990),0
ID,EP,0.5,Besag-Newell (1991),0
ID,EP,0.5,Kulldorff (1997),0
ID,EP,1,Turnbull (1990),0
ID,EP,1,Besag-Newell (1991),0
ID,EP,1,Kulldorff (1997),0
ID,EP,1.5,Turnbull (1990),0
ID,EP,1.5,Besag-Newell (1991),0
ID,EP,1.5,Kulldorff (1997),0
ID,EP,2,Turnbull (1990),0
ID,EP,2,Besag-Newell (1991),0
ID,EP,2,Kulldorff (1997),0
BYM,EP,0.5,Turnbull (1990),0
BYM,EP,0.5,Besag-Newell (1991),0
BYM,EP,0.5,Kulldorff (1997),0
BYM,EP,1,Turnbull (1990),0
BYM,EP,1,Besag-Newell (1991),0
BYM,EP,1,Kulldorff (1997),0
BYM,EP,1.5,Turnbull (1990),0
BYM,EP,1.5,Besag-Newell (1991),0
BYM,EP,1.5,Kulldorff (1997),0
BYM,EP,2,Turnbull (1990),0
BYM,EP,2,Besag-Newell (1991),0
BYM,EP,2,Kulldorff (1997),0
Obs,MP,0.5,Turnbull (1990),0.68
Obs,MP,0.5,Besag-Newell (1991),0.99
Obs,MP,0.5,Kulldorff (1997),0.64
Obs,MP,1,Turnbull (1990),1
Obs,MP,1,Besag-Newell (1991),1
Obs,MP,1,Kulldorff (1997),1
Obs,MP,1.5,Turnbull (1990),1
Obs,MP,1.5,Besag-Newell (1991),1
Obs,MP,1.5,Kulldorff (1997),1
Obs,MP,2,Turnbull (1990),1
Obs,MP,2,Besag-Newell (1991),1
Obs,MP,2,Kulldorff (1997),1
Adj,MP,0.5,Turnbull (1990),0.41
Adj,MP,0.5,Besag-Newell (1991),0.88
Adj,MP,0.5,Kulldorff (1997),0.27
Adj,MP,1,Turnbull (1990),0.91
Adj,MP,1,Besag-Newell (1991),1
Adj,MP,1,Kulldorff (1997),0.83
Adj,MP,1.5,Turnbull (1990),1
Adj,MP,1.5,Besag-Newell (1991),1
Adj,MP,1.5,Kulldorff (1997),1
Adj,MP,2,Turnbull (1990),1
Adj,MP,2,Besag-Newell (1991),1
Adj,MP,2,Kulldorff (1997),1
ID,MP,0.5,Turnbull (1990),0.42
ID,MP,0.5,Besag-Newell (1991),0.86
ID,MP,0.5,Kulldorff (1997),0.27
ID,MP,1,Turnbull (1990),0.93
ID,MP,1,Besag-Newell (1991),1
ID,MP,1,Kulldorff (1997),0.85
ID,MP,1.5,Turnbull (1990),1
ID,MP,1.5,Besag-Newell (1991),1
ID,MP,1.5,Kulldorff (1997),1
ID,MP,2,Turnbull (1990),1
ID,MP,2,Besag-Newell (1991),1
ID,MP,2,Kulldorff (1997),1
BYM,MP,0.5,Turnbull (1990),0.03
BYM,MP,0.5,Besag-Newell (1991),0.04
BYM,MP,0.5,Kulldorff (1997),0
BYM,MP,1,Turnbull (1990),0.72
BYM,MP,1,Besag-Newell (1991),0.82
BYM,MP,1,Kulldorff (1997),0.66
BYM,MP,1.5,Turnbull (1990),1
BYM,MP,1.5,Besag-Newell (1991),1
BYM,MP,1.5,Kulldorff (1997),1
BYM,MP,2,Turnbull (1990),1
BYM,MP,2,Besag-Newell (1991),1
BYM,MP,2,Kulldorff (1997),1
Obs,CC,0.5,Turnbull (1990),0.9110062893081761
Obs,CC,0.5,Besag-Newell (1991),0.8955974842767296
Obs,CC,0.5,Kulldorff (1997),0.9153459119496855
Obs,CC,1,Turnbull (1990),0.919937106918239
Obs,CC,1,Besag-Newell (1991),0.9141509433962265
Obs,CC,1,Kulldorff (1997),0.9557232704402516
Obs,CC,1.5,Turnbull (1990),0.9161006289308177
