Smoothing,Measure,E,Test,value
BYM,NPV,1.5,Turnbull (1990),0.9452196698514977
BYM,NPV,1.5,Besag-Newell (1991),0.9381648912859077
BYM,NPV,1.5,Kulldorff (1997),0.9401561086838697
BYM,NPV,2,Turnbull (1990),0.9477672237394386
BYM,NPV,2,Besag-Newell (1991),0.9377343781776083
BYM,NPV,2,Kulldorff (1997),0.9517788887582139
Obs,EP,0.5,Turnbull (1990),0
Obs,EP,0.5,Besag-Newell (1991),0
Obs,EP,0.5,Kulldorff (1997),0
Obs,EP,1,Turnbull (1990),0
Obs,EP,1,Besag-Newell (1991),0
Obs,EP,1,Kulldorff (1997),0
Obs,EP,1.5,Turnbull (1990),0
Obs,EP,1.5,Besag-Newell (1991),0
Obs,EP,1.5,Kulldorff (1997),0
Obs,EP,2,Turnbull (1990),0
Obs,EP,2,Besag-Newell (1991),0
Obs,EP,2,Kulldorff (1997),0
Adj,EP,0.5,Turnbull (1990),0
Adj,EP,0.5,Besag-Newell (1991),0
Adj,EP,0.5,Kulldorff (1997),0
Adj,EP,1,Turnbull (1990),0
Adj,EP,1,Besag-Newell (1991),0
Adj,EP,1,Kulldorff (1997),0
Adj,EP,1.5,Turnbull (1990),0
Adj,EP,1.5,Besag-Newell (1991),0
Adj,EP,1.5,Kulldorff (1997),0
Adj,EP,2,Turnbull (1990),0
Adj,EP,2,Besag-Newell (1991),0
Adj,EP,2,Kulldorff (1997),0
ID,EP,0.5,Turnbull (1990),0
ID,EP,0.5,Besag-Newell (1991),0
ID,EP,0.5,Kulldorff (1997),0
ID,EP,1,Turnbull (1990),0
ID,EP,1,Besag-Newell (1991),0
ID,EP,1,Kulldorff (1997),0
ID,EP,1.5,Turnbull (1990),0
ID,EP,1.5,Besag-Newell (1991),0
ID,EP,1.5,Kulldorff (1997),0
ID,EP,2,Turnbull (1990),0
ID,EP,2,Besag-Newell (1991),0
ID,EP,2,Kulldorff (1997),0
BYM,EP,0.5,Turnbull (1990),0
BYM,EP,0.5,Besag-Newell (1991),0
BYM,EP,0.5,Kulldorff (1997),0
BYM,EP,1,Turnbull (1990),0
BYM,EP,1,Besag-Newell (1991),0
BYM,EP,1,Kulldorff (1997),0
BYM,EP,1.5,Turnbull (1990),0
BYM,EP,1.5,Besag-Newell (1991),0
BYM,EP,1.5,Kulldorff (1997),0
BYM,EP,2,Turnbull (1990),0
BYM,EP,2,Besag-Newell (1991),0
BYM,EP,2,Kulldorff (1997),0
Obs,MP,0.5,Turnbull (1990),1
Obs,MP,0.5,Besag-Newell (1991),0.9
Obs,MP,0.5,Kulldorff (1997),0.8
Obs,MP,1,Turnbull (1990),1
Obs,MP,1,Besag-Newell (1991),1
Obs,MP,1,Kulldorff (1997),1
Obs,MP,1.5,Turnbull (1990),1
Obs,MP,1.5,Besag-Newell (1991),1
Obs,MP,1.5,Kulldorff (1997),1
Obs,MP,2,Turnbull (1990),1
Obs,MP,2,Besag-Newell (1991),1
Obs,MP,2,Kulldorff (1997),1
Adj,MP,0.5,Turnbull (1990),0.4
Adj,MP,0.5,Besag-Newell (1991),0.8
Adj,MP,0.5,Kulldorff (1997),0.2
Adj,MP,1,Turnbull (1990),1
Adj,MP,1,Besag-Newell (1991),1
Adj,MP,1,Kulldorff (1997),0.9
Adj,MP,1.5,Turnbull (1990),1
Adj,MP,1.5,Besag-Newell (1991),1
Adj,MP,1.5,Kulldorff (1997),1
Adj,MP,2,Turnbull (1990),1
Adj,MP,2,Besag-Newell (1991),1
Adj,MP,2,Kulldorff (1997),1
ID,MP,0.5,Turnbull (1990),0.4
ID,MP,0.5,Besag-Newell (1991),0.8
ID,MP,0.5,Kulldorff (1997),0.2
ID,MP,1,Turnbull (1990),1
ID,MP,1,Besag-Newell (1991),1
ID,MP,1,Kulldorff (1997),1
ID,MP,1.5,Turnbull (1990),1
ID,MP,1.5,Besag-Newell (1991),1
ID,MP,1.5,Kulldorff (1997),1
ID,MP,2,Turnbull (1990),1
ID,MP,2,Besag-Newell (1991),1
ID,MP,2,Kulldorff (1997),1
BYM,MP,0.5,Turnbull (1990),0.1
BYM,MP,0.5,Besag-Newell (1991),0.1
BYM,MP,0.5,Kulldorff (1997),0.1
BYM,MP,1,Turnbull (1990),1
BYM,MP,1,Besag-Newell (1991),1
BYM,MP,1,Kulldorff (1997),1
BYM,MP,1.5,Turnbull (1990),1
BYM,MP,1.5,Besag-Newell (1991),1
BYM,MP,1.5,Kulldorff (1997),1
BYM,MP,2,Turnbull (1990),1
BYM,MP,2,Besag-Newell (1991),1
BYM,MP,2,Kulldorff (1997),1
Obs,CC,0.5,Turnbull (1990),0.8446540880503145
Obs,CC,0.5,Besag-Newell (1991),0.8817610062893082
Obs,CC,0.5,Kulldorff (1997),0.8867924528301887
Obs,CC,1,Turnbull (1990),0.8364779874213837
Obs,CC,1,Besag-Newell (1991),0.9056603773584906
Obs,CC,1,Kulldorff (1997),0.9446540880503145
Obs,CC,1.5,Turnbull (1990),0.8440251572327044
Obs,CC,1.5,Besag-Newell (1991),0.9238993710691824
Obs,CC,1.5,Kulldorff (1997),0.9553459119496855
Obs,CC,2,Turnbull (1990),0.8345911949685535
Obs,CC,2,Besag-Newell (1991),0.9106918238993711
Obs,CC,2,Kulldorff (1997),0.959748427672956
Adj,CC,0.5,Turnbull (1990),0.8358490566037736
Adj,CC,0.5,Besag-Newell (1991),0.8830188679245283
Adj,CC,0.5,Kulldorff (1997),0.8603773584905661
Adj,CC,1,Turnbull (1990),0.8566037735849057
Adj,CC,1,Besag-Newell (1991),0.9050314465408805
Adj,CC,1,Kulldorff (1997),0.8861635220125786
